CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
?,1515,No,No,Yes,No,Yes,No,23,1.68,85,0.964705,0,0,9.635294,8,6,Low
?,1493,No,No,Yes,Yes,Yes,No,27,2.77,70,0.971428,0,0,13.742857,2,2,High
?,949,Yes,No,Yes,No,Yes,No,23,2.57,55,0.981818,0,0,7.745454,0,10,Low
?,1742,No,No,Yes,No,Yes,No,23,2.03,101,0.980198,0,0,9.326732,5,13,Low
?,2114,Yes,No,Yes,No,Yes,Yes,27,1.64,115,0.973913,0,0,6.886956,9,13,Low
D,310,No,No,Yes,No,Yes,No,25,2.42,15,0.333333,0.066666,0,5.066666,3,3,Low
D,246,No,No,Yes,No,Yes,No,24,2.44,13,0.76923,0,0,5.538461,0,3,High
D,378,No,No,Yes,Yes,Yes,No,23,2.65,25,0.6,0,0,4.08,4,5,High
D,310,Yes,No,No,No,Yes,No,27,3.37,13,0.615384,0.076923,0,5.615384,1,0,High
?,550,No,No,Yes,No,Yes,No,29,2.08,27,0.925925,0.037037,0,8.74074,6,0,Low
?,741,No,No,Yes,Yes,Yes,No,31,3.31,31,1,0,0,13.32258,3,1,High
?,926,No,No,Yes,No,Yes,No,31,1.97,36,0.666666,0.027777,0,7.555555,9,2,Low
?,1052,No,No,Yes,No,Yes,No,28,1.98,49,0.979591,0,0,15.918367,0,0,Low
?,1502,Yes,No,Yes,No,Yes,No,25,1.85,78,0.75641,0.01282,0,9.653846,11,9,Low
?,682,No,No,Yes,Yes,Yes,No,28,2.94,32,0.875,0.03125,0,14.125,2,2,High
?,580,No,No,Yes,Yes,Yes,No,31,2.52,27,1,0,0,14.481481,1,0,High
?,1046,No,Yes,Yes,No,Yes,No,33,2.68,39,0.974358,0.025641,0,16.564102,2,1,High
?,1493,No,No,Yes,No,Yes,No,25,1.74,68,0.955882,0.029411,0,17.014705,2,4,Low
?,1494,No,No,Yes,No,Yes,No,34,1.82,54,0.944444,0.018518,0,12.296296,4,4,Low
?,1540,No,No,Yes,No,Yes,No,33,1.98,61,0.967213,0.016393,0,15.459016,0,2,Low
?,1712,No,No,Yes,No,Yes,No,25,2.24,74,0.945945,0.04054,0,15.662162,6,2,Low
?,1073,No,No,Yes,No,Yes,No,25,1.78,49,0.959183,0.040816,0,18.489795,2,5,Low
?,1016,No,No,Yes,No,Yes,No,29,1.66,52,1,0,0,16.980769,1,0,Low
?,1030,No,Yes,Yes,No,Yes,No,30,1.72,52,1,0,0,16.403846,0,1,Low
?,513,No,No,Yes,Yes,Yes,No,31,2.85,20,1,0,0,14.55,0,2,High
?,867,No,No,Yes,No,Yes,No,29,2.2,38,0.947368,0.052631,0,7.947368,5,4,Low
?,1047,No,No,Yes,No,Yes,No,36,2.28,45,0.911111,0.066666,0,9.555555,3,6,Low
?,1021,No,No,Yes,No,Yes,No,32,2.02,43,0.930232,0.046511,0,7.697674,5,1,Low
?,496,No,No,Yes,Yes,Yes,No,32,2.68,24,0.875,0.083333,0,14.083333,1,3,Low
?,610,No,Yes,Yes,Yes,Yes,No,34,3.15,24,0.958333,0,0,10.458333,4,1,High
?,752,Yes,No,Yes,Yes,Yes,No,28,2.43,38,0.947368,0,0,10.105263,1,2,Low
?,759,Yes,No,Yes,No,Yes,No,27,2.22,41,0.975609,0,0,11.07317,0,3,Low
?,728,No,No,Yes,No,Yes,No,29,2.36,36,0.888888,0,0,13.583333,0,1,Low
?,882,Yes,No,Yes,No,Yes,No,28,2.03,47,0.914893,0.042553,0,10.234042,3,5,Low
?,932,Yes,No,Yes,No,Yes,No,30,2.37,46,0.956521,0.021739,0,15.73913,0,1,Low
?,944,No,Yes,No,Yes,No,No,31,4.46,40,0.95,0,0,12.55,1,2,High
?,916,No,Yes,No,Yes,No,No,29,4.1,42,1,0,0,10.666666,1,3,High
?,921,No,Yes,No,Yes,No,No,31,4.38,36,0.944444,0.027777,0,9,2,3,High
?,565,Yes,No,Yes,No,Yes,No,27,1.98,27,1,0,0,10.592592,0,2,Low
D,152,No,No,No,Yes,No,No,28,3.92,7,1,0,0,8.857142,0,0,High
?,485,No,No,Yes,No,Yes,No,26,2.13,28,0.892857,0,0.035714,13.642857,1,0,Low
?,577,Yes,No,Yes,No,Yes,No,30,2.48,29,0.931034,0.034482,0,13.827586,2,0,Low
?,570,Yes,No,Yes,No,Yes,No,30,2.76,33,0.969696,0.030303,0,16.272727,0,0,Low
?,725,No,No,Yes,No,Yes,No,31,1.94,36,0.972222,0,0,18.75,1,0,Low
?,757,No,No,Yes,No,Yes,No,31,1.96,39,0.948717,0.025641,0,11.333333,1,5,Low
?,810,No,No,Yes,No,Yes,No,32,1.82,38,0.973684,0,0,13.18421,4,2,Low
?,697,No,No,Yes,No,Yes,No,30,1.82,38,0.868421,0.052631,0,12.605263,2,3,Low
?,491,No,No,Yes,No,Yes,No,30,2.24,29,0.931034,0.034482,0,14.137931,1,1,Low
?,895,No,No,Yes,Yes,Yes,No,32,3.22,37,1,0,0,18.243243,0,2,High
?,711,No,Yes,Yes,No,Yes,No,27,1.94,32,1,0,0,13.84375,2,3,High
?,771,No,Yes,No,Yes,No,No,28,4.36,34,1,0,0,17.411764,1,2,High
?,956,No,No,Yes,Yes,Yes,No,27,3.2,47,0.978723,0,0,17.319148,1,0,High
?,1145,No,Yes,Yes,Yes,Yes,No,30,4.05,52,0.961538,0.01923,0,13.096153,1,1,High
?,978,No,Yes,Yes,Yes,No,No,30,4.18,42,1,0,0,17.785714,0,1,High
?,829,No,No,Yes,No,Yes,No,32,1.6,34,1,0,0,13.764705,0,2,Low
?,872,No,Yes,Yes,Yes,Yes,No,27,3.27,38,0.973684,0.026315,0,10.131578,2,3,High
?,781,No,Yes,Yes,Yes,No,No,32,3.83,30,0.866666,0.033333,0,10.366666,2,3,High
?,681,No,Yes,Yes,No,Yes,No,32,3.4,25,1,0,0,11.6,2,0,High
?,751,No,Yes,No,Yes,No,No,33,3.88,26,0.961538,0,0,13.26923,0,0,High
?,594,No,Yes,Yes,Yes,Yes,No,30,3.75,25,0.96,0,0,10.44,1,2,High
?,717,No,Yes,Yes,Yes,Yes,No,33,3.49,28,0.964285,0.035714,0,10.25,3,1,High
?,744,No,Yes,Yes,Yes,Yes,No,31,3.11,31,1,0,0,9.935483,0,1,High
?,686,No,Yes,No,Yes,No,No,32,3.97,27,1,0,0,11.518518,0,2,High
?,568,No,Yes,Yes,Yes,Yes,No,33,3.21,24,1,0,0,8.75,1,1,High
?,647,No,No,Yes,No,Yes,No,27,2.43,25,1,0,0,9,0,3,High
?,205,No,No,Yes,No,Yes,No,27,2.3,11,1,0,0,6.636363,1,3,High
?,693,No,No,Yes,No,Yes,No,29,2.71,33,0.939393,0,0,12.969696,5,1,High
?,914,No,Yes,Yes,No,Yes,No,29,2.65,43,0.953488,0,0,13.255813,4,0,Low
?,812,No,No,Yes,Yes,Yes,No,25,3.06,43,0.976744,0,0,14.488372,0,0,High
?,920,Yes,No,Yes,Yes,Yes,No,29,3.14,41,0.951219,0.04878,0,16.341463,0,0,High
?,946,No,No,Yes,No,Yes,No,32,2.05,43,1,0,0,14.627906,1,1,Low
?,1213,No,No,Yes,No,Yes,No,31,2.24,55,0.963636,0,0,10.6,8,6,Low
?,1354,No,Yes,Yes,Yes,No,No,30,3.85,60,0.95,0,0,11.25,3,2,High
?,949,No,Yes,Yes,Yes,No,No,30,3.82,43,0.976744,0,0,12.534883,1,2,High
?,1183,No,No,Yes,Yes,Yes,No,30,3.47,51,0.921568,0,0,13.313725,1,3,High
?,986,No,No,Yes,Yes,Yes,No,30,3.33,44,1,0,0,16.75,0,3,High
?,1264,No,No,Yes,Yes,Yes,No,31,3.15,55,1,0,0,9.763636,2,5,High
?,1204,Yes,No,Yes,Yes,Yes,No,29,3.03,57,0.964912,0.052631,0,11.315789,0,7,High
?,514,No,No,Yes,Yes,Yes,No,30,1.8,23,1,0,0,18.652173,0,0,Low
?,839,Yes,No,Yes,Yes,Yes,No,31,3.06,37,1,0,0,12.837837,3,5,High
?,730,No,No,Yes,No,Yes,No,27,1.66,33,0.787878,0.060606,0,7.545454,1,9,Low
?,559,Yes,No,Yes,No,Yes,No,28,2.21,31,0.677419,0.064516,0,12.032258,2,4,Low
?,377,Yes,No,Yes,No,Yes,No,21,2.18,25,0.84,0.04,0.04,10.8,2,2,Low
?,908,No,No,Yes,No,Yes,No,29,1.67,45,0.866666,0.044444,0,13.577777,5,0,Low
?,433,Yes,No,Yes,No,Yes,No,30,1.93,25,0.84,0.04,0,8.08,3,2,Low
?,1117,Yes,No,Yes,No,Yes,No,30,1.69,54,0.925925,0.018518,0,11.703703,3,5,Low
?,520,Yes,No,Yes,No,Yes,No,30,2,29,0.827586,0.068965,0,10.551724,1,1,Low
?,1175,Yes,No,Yes,No,Yes,No,29,1.8,47,0.829787,0.021276,0,10.93617,2,1,Low
?,?,?,?,?,?,?,No,3,1.8,1,1,0,0,9,0,0,?
?,421,No,No,Yes,No,Yes,No,20,2.43,22,1,0,0,11.727272,1,0,Low
?,581,No,Yes,Yes,No,Yes,No,22,2.51,28,0.964285,0,0,9.428571,3,1,High
?,620,No,No,Yes,No,Yes,No,25,2.44,28,1,0,0,8.964285,3,1,High
?,349,No,No,Yes,No,Yes,No,20,1.77,19,0.894736,0,0,9.157894,3,2,High
?,503,No,No,Yes,No,Yes,No,24,1.78,25,1,0,0,13.04,1,1,High
?,465,No,No,Yes,No,Yes,No,16,1.7,24,1,0,0,14.541666,0,0,Low
?,893,No,Yes,Yes,No,Yes,No,30,2.92,40,0.975,0.125,0.125,16.3,1,1,High
?,784,No,No,Yes,No,Yes,No,29,1.85,35,1,0.028571,0.114285,15.028571,3,1,Low
?,558,No,No,Yes,No,Yes,No,30,2.44,24,0.875,0.208333,0.291666,13.791666,1,5,Low
?,1431,No,Yes,Yes,Yes,Yes,No,32,3.9,55,1,0,0,16.10909,0,3,High
?,1231,No,Yes,Yes,Yes,Yes,No,31,3.99,49,0.959183,0,0,14.77551,0,4,High
?,1089,No,Yes,Yes,No,Yes,No,30,3.79,43,0.930232,0,0,21.511627,1,3,High
?,1202,No,Yes,Yes,No,Yes,No,29,2.87,54,0.981481,0,0,12.425925,0,2,High
?,426,No,No,Yes,Yes,Yes,No,29,3.21,18,0.944444,0,0,11.666666,1,0,Low
?,1259,No,Yes,Yes,Yes,No,No,30,4.48,55,0.981818,0,0,15.363636,2,3,High
?,786,No,No,Yes,Yes,Yes,No,28,3.36,40,1,0,0,14.175,1,2,High
?,834,No,No,Yes,Yes,Yes,No,29,3.85,36,0.972222,0,0,14.611111,1,0,High
D,316,No,No,Yes,Yes,No,No,26,3.98,15,0.8,0,0,5.066666,3,2,High
D,55,No,No,No,No,Yes,No,15,2.48,3,1,0,0,4,2,0,Low
?,?,?,?,?,?,?,No,?,2,1,1,0,0,4,0,0,?
?,197,No,No,Yes,Yes,Yes,No,?,2.05,8,1,0,0,12.375,0,1,High
?,200,No,No,No,Yes,Yes,No,?,3.25,12,0.916666,0,0,11.5,2,0,Low
?,347,No,No,Yes,Yes,Yes,No,25,2.3,21,0.857142,0.142857,0,9.285714,2,1,Low
?,764,No,No,Yes,No,Yes,No,32,2.02,36,0.944444,0,0,10.138888,5,3,Low
?,881,No,No,Yes,Yes,Yes,No,30,2.14,41,0.975609,0,0,13.219512,4,3,High
?,628,No,No,Yes,No,Yes,No,25,1.57,39,0.897435,0.051282,0,10.820512,3,5,Low
?,306,No,No,Yes,Yes,Yes,No,31,3.06,13,1,0,0,7.307692,0,2,High
?,?,?,?,?,?,?,?,?,?,1,1,0,0,32,0,0,?
?,?,?,?,?,?,?,No,?,2.5,1,1,0,0,29,0,0,?
?,581,No,No,No,Yes,No,No,27,4.02,34,0.970588,0,0,11.529411,2,2,High
?,420,No,No,No,Yes,No,No,20,4.48,35,1,0,0,14.057142,2,1,High
?,497,No,No,Yes,Yes,No,No,23,4.28,29,1,0.068965,0,12.620689,0,0,High
?,685,No,No,No,Yes,No,No,24,4.5,38,1,0,0,15.526315,1,0,High
?,531,No,No,Yes,Yes,Yes,No,29,3.2,25,1,0,0,10.28,1,2,High
?,503,No,No,Yes,Yes,Yes,No,30,3.21,24,1,0,0,8.083333,0,3,High
?,642,No,No,No,Yes,No,No,28,3.86,31,1,0,0,16.032258,0,2,High
?,356,No,No,No,Yes,No,No,21,4.51,26,1,0,0,15.153846,0,0,High
?,798,No,No,Yes,Yes,Yes,No,26,2.63,43,0.930232,0,0,9.906976,5,0,Low
?,25,No,No,No,No,No,No,18,2.79,5,1,0,0,11.2,0,1,Low
?,555,No,No,No,Yes,No,No,26,3.89,34,0.970588,0,0,12.5,0,1,High
?,248,No,No,No,Yes,Yes,No,24,3.06,13,0.923076,0,0,11.692307,0,0,High
?,?,?,?,?,?,?,No,?,2.57,1,1,0,0,28,0,0,?
?,390,No,No,Yes,Yes,Yes,No,23,2.66,26,1,0,0.038461,17.884615,2,1,Low
?,?,?,?,?,?,?,No,?,2.63,1,0,0,0,26,0,0,?
?,589,No,No,Yes,Yes,Yes,No,27,2.41,30,1,0.033333,0,17.366666,1,0,Low
?,333,No,No,Yes,Yes,Yes,No,26,2.15,21,0.95238,0,0,17.238095,1,1,Low
?,323,No,No,Yes,Yes,Yes,No,23,2.57,19,1,0,0,13.842105,1,1,Low
?,?,?,?,?,?,?,?,?,2.67,1,1,0,0,32,0,0,?
?,55,No,No,No,No,No,No,20,2.65,2,1,0,0,2.5,1,0,Low
?,11,No,No,No,No,No,?,?,2.25,1,1,0,0,15,0,0,?
?,?,?,?,?,?,?,?,?,1,1,1,0,0,17,0,0,?
