CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
?,1301,Yes,No,Yes,Yes,Yes,No,35,2.38,82,0.902439,0.04878,0,12.841463,4,2,Low
?,12,No,No,No,No,No,No,12,2.21,5,1,0,0,16,1,0,?
?,1663,No,No,Yes,Yes,Yes,No,33,2.7,89,0.966292,0.101123,0,15.022471,1,4,High
?,1663,No,No,Yes,Yes,Yes,No,30,2.48,96,0.96875,0.020833,0,14.760416,2,5,Low
?,1428,No,No,Yes,Yes,Yes,No,28,2.13,107,0.971962,0.009345,0.018691,14.682242,3,2,Low
?,14,No,No,No,No,No,?,?,2,2,1,0,0,25.5,0,0,?
?,?,?,?,?,?,?,No,6,1.78,8,1,0,0,23.125,0,0,?
?,28,No,No,No,No,No,No,12,2.01,13,1,0,0,22.538461,1,0,?
?,1109,No,No,Yes,Yes,Yes,No,31,1.95,65,0.907692,0.015384,0,11.153846,5,3,Low
?,37,No,No,No,No,No,?,?,2.33,10,0.9,0,0,7.3,1,1,?
?,1759,Yes,No,Yes,Yes,Yes,No,30,2.79,110,0.890909,0,0,14.872727,5,5,Low
?,1932,Yes,No,Yes,Yes,Yes,No,29,2.64,119,0.907563,0.042016,0,12.747899,11,14,Low
Y,25,No,No,No,No,No,No,28,2.3,4,1,0,0,13,0,0,?
?,29,No,No,No,No,No,No,29,2.11,9,0.888888,0.111111,0,9.777777,2,0,?
?,65,No,No,No,No,No,No,35,2.07,8,1,0,0,13.125,0,0,?
?,1731,Yes,No,Yes,Yes,Yes,No,30,2.38,108,0.907407,0.027777,0,8.722222,9,10,Low
?,149,No,No,Yes,No,Yes,No,17,2.24,28,0.964285,0,0.035714,17.035714,0,1,?
?,1523,Yes,No,Yes,Yes,Yes,No,27,2.1,106,0.915094,0.066037,0.009433,13.009433,2,6,Low
Y,250,No,No,Yes,Yes,Yes,No,24,2.3,15,1,0.133333,0,6.8,2,1,High
?,1984,No,No,Yes,Yes,Yes,No,31,2.12,114,0.947368,0.061403,0,13.824561,6,7,Low
?,1289,No,No,Yes,Yes,Yes,No,31,1.81,86,0.88372,0.093023,0,9.639534,9,9,Low
?,42,No,No,No,No,No,No,21,2.07,11,1,0.090909,0,11.090909,1,1,?
?,101,No,No,Yes,No,Yes,No,23,1.93,21,1,0.095238,0,12.190476,1,2,?
?,1515,Yes,No,Yes,Yes,Yes,No,34,2.57,89,0.94382,0.067415,0.011235,14.77528,1,15,High
?,17,No,No,No,No,No,No,15,1.74,8,0.625,0.125,0.25,3.875,3,1,?
?,638,No,No,Yes,Yes,Yes,No,26,1.86,49,0.897959,0.081632,0.020408,9.122448,13,1,Low
Y,338,No,No,Yes,No,Yes,No,24,2.67,20,0.6,0,0,4.95,1,5,High
?,1659,Yes,No,Yes,Yes,Yes,No,30,2.63,74,0.959459,0,0,10.554054,2,3,Low
?,76,No,No,Yes,No,No,No,23,2.19,17,0.941176,0,0,12,2,0,?
Y,87,No,No,No,No,No,No,22,2.75,8,0.875,0,0,9.375,0,0,Low
?,1899,Yes,No,Yes,Yes,Yes,No,31,2.91,113,0.964601,0.008849,0,14.504424,7,2,High
?,70,No,No,Yes,No,Yes,No,23,1.84,14,0.928571,0.071428,0,14,1,0,?
?,1698,Yes,No,Yes,No,Yes,No,29,1.93,100,0.98,0.01,0,10.2,8,8,Low
D,17,No,No,No,No,No,?,?,2.58,5,1,0,0,13.2,1,0,Low
?,?,?,?,?,?,?,No,13,3.45,1,1,0,0,21,0,0,?
?,1547,No,No,Yes,Yes,Yes,No,32,2.3,85,0.964705,0,0.011764,13.57647,2,6,Low
?,196,No,No,Yes,Yes,Yes,No,10,2.34,25,1,0,0,17.64,1,0,?
?,103,No,No,Yes,No,Yes,?,?,2.13,8,0.875,0,0,15.125,1,0,?
?,47,No,No,No,No,No,No,18,1.97,11,1,0,0,21.454545,0,0,?
?,2185,Yes,Yes,Yes,Yes,Yes,No,32,3.2,109,0.981651,0,0,13.385321,1,4,High
?,1677,Yes,No,Yes,Yes,Yes,No,32,2.31,97,0.969072,0,0,15.546391,4,0,Low
?,1993,Yes,No,Yes,Yes,Yes,No,32,2.84,103,0.961165,0,0,14.582524,4,9,Low
?,1486,Yes,No,Yes,Yes,Yes,No,33,2.13,85,0.952941,0,0,13.305882,7,5,Low
