CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
D,431,Yes,No,Yes,No,Yes,No,30,1.72,27,0.851851,0,0.074074,3.111111,4,12,Low
D,236,No,No,No,Yes,Yes,No,?,4.04,21,0.904761,0.047619,0,6.904761,2,3,High
?,?,?,?,?,?,?,Yes,?,?,13,1,0,0,7.692307,0,1,?
?,?,?,?,?,?,?,No,?,?,11,1,0,0,10.272727,0,1,?
?,?,?,?,?,?,?,Yes,?,?,16,1,0,0,12.6875,0,0,?
?,53,No,No,Yes,No,Yes,No,?,1.39,11,1,0,0,11.90909,0,1,Low
?,?,?,?,?,?,?,No,?,?,14,1,0,0,12.214285,0,0,?
?,?,?,?,?,?,?,Yes,?,?,14,1,0,0,16.5,0,0,?
?,65,No,No,Yes,No,Yes,No,?,1.96,14,1,0,0,7,0,1,Low
?,80,No,No,Yes,No,Yes,No,?,2.1,16,0.9375,0,0,14.625,0,1,High
?,?,?,?,?,?,?,Yes,?,?,17,1,0,0,9.941176,0,0,?
?,66,No,No,Yes,No,Yes,No,?,2,12,1,0,0,13.416666,0,0,High
?,110,No,No,Yes,No,Yes,No,?,1.73,14,1,0,0,11.428571,0,0,High
?,?,?,?,?,?,?,No,?,?,12,1,0,0,7.5,2,0,?
?,324,No,No,Yes,No,Yes,No,?,2.09,28,1,0,0,9.285714,0,1,High
?,393,No,No,Yes,No,Yes,No,?,1.9,39,1,0,0,11.205128,0,2,Low
?,469,No,No,Yes,No,Yes,No,?,1.45,41,1,0,0,8.121951,0,0,Low
?,402,No,No,Yes,No,Yes,Yes,?,1.54,35,1,0,0,9.085714,0,1,Low
?,331,Yes,No,Yes,No,Yes,No,?,1.99,28,1,0,0,9.964285,2,3,Low
?,284,No,No,Yes,No,Yes,No,?,1.93,26,1,0,0,8.346153,0,1,High
?,621,No,No,Yes,No,Yes,Yes,?,1.76,52,1,0,0,9.211538,3,2,Low
?,463,No,No,Yes,No,Yes,Yes,?,1.85,39,0.974358,0,0,9.25641,4,4,Low
?,426,No,No,Yes,No,Yes,No,?,2.02,36,0.972222,0,0,11.083333,1,3,Low
?,315,No,No,Yes,No,Yes,No,?,1.83,29,1,0,0,7.931034,0,4,Low
?,372,No,No,Yes,No,Yes,No,?,2.19,31,1,0,0,8.677419,0,1,High
?,353,No,No,Yes,No,Yes,No,?,1.97,32,1,0,0,7.8125,0,3,High
?,266,No,No,Yes,No,Yes,No,?,1.88,19,1,0,0,12.315789,0,0,Low
D,140,No,No,Yes,No,Yes,No,?,1.97,11,0.818181,0,0,3.181818,1,5,High
D,146,No,No,Yes,No,Yes,No,?,3.25,11,1,0,0,4.181818,3,1,High
D,104,Yes,No,No,No,Yes,No,?,2.06,7,0,0,0,2.142857,1,5,Low
D,?,?,?,?,?,?,No,?,?,1,1,0,0,2,0,1,?
D,117,Yes,No,No,No,Yes,No,?,3.02,8,1,0,0,2.75,2,1,Low
?,?,?,?,?,?,?,No,?,?,11,1,0,0,16.90909,0,1,?
?,442,No,No,Yes,No,Yes,No,?,1.64,41,0.951219,0,0,9.195121,2,1,Low
?,767,No,No,Yes,No,Yes,Yes,?,2.08,46,1,0,0,7.543478,4,7,Low
?,432,No,Yes,Yes,No,Yes,No,?,2.8,35,1,0,0,6.228571,1,6,High
?,290,No,No,Yes,No,Yes,No,?,1.81,28,1,0,0,10.142857,0,2,Low
?,316,No,Yes,Yes,No,Yes,No,?,2.89,28,1,0,0,10.857142,1,4,Low
?,389,No,No,Yes,Yes,Yes,No,29,3.76,21,1,0,0,10.95238,0,2,High
D,94,Yes,No,No,No,Yes,No,?,2.42,7,1,0,0,2.285714,3,1,High
D,112,No,No,No,Yes,No,No,?,3.87,11,1,0,0,6.90909,4,1,High
D,130,Yes,No,No,No,No,No,?,1.96,14,0.785714,0.071428,0,3.571428,2,3,Low
D,22,No,No,No,No,No,No,?,2,5,0,0,0,3.2,0,2,High
D,95,Yes,No,No,No,No,No,?,2.53,10,1,0,0,3.1,4,4,High
D,72,No,No,Yes,No,Yes,No,?,2.2,8,0,0,0,1.75,3,4,High
D,?,?,?,?,?,?,Yes,?,?,24,0.875,0,0,5.583333,5,4,?
D,128,No,No,Yes,No,Yes,No,?,1.8,11,1,0,0,4.90909,1,3,Low
D,111,No,No,No,Yes,No,No,?,3.63,11,0.727272,0,0,5.272727,1,2,Low
